rating,verb,sel,routine,SubjId,language,freq
3,crush,lo,-routine,Subj1,English,med
5,manufacture,lo,+routine,Subj1,English,med
3,distribute,lo,-routine,Subj1,English,med
4,transport,lo,-routine,Subj1,English,med
5,repay,hi,-routine,Subj1,English,med
4,book,hi,+routine,Subj1,English,med
4,ring,hi,+routine,Subj1,English,med
3,scramble,hi,-routine,Subj1,English,med
4,butcher,med,-routine,Subj2,English,lo
4,demolish,med,+routine,Subj2,English,lo
4,whitewash,med,-routine,Subj2,English,lo
3,replenish,med,+routine,Subj2,English,lo
4,close,med,+routine,Subj2,English,hi
3,wash,med,-routine,Subj2,English,hi
4,roll,med,+routine,Subj2,English,hi
3,taste,med,-routine,Subj2,English,hi
2,butcher,med,+routine,Subj3,English,lo
3,demolish,med,+routine,Subj3,English,lo
4,whitewash,med,-routine,Subj3,English,lo
2,replenish,med,+routine,Subj3,English,lo
5,close,med,+routine,Subj3,English,hi
2,wash,med,-routine,Subj3,English,hi
2,roll,med,+routine,Subj3,English,hi
4,taste,med,+routine,Subj3,English,hi
5,crush,lo,-routine,Subj4,English,med
4,manufacture,lo,-routine,Subj4,English,med
5,distribute,lo,-routine,Subj4,English,med
4,transport,lo,-routine,Subj4,English,med
5,repay,hi,-routine,Subj4,English,med
5,book,hi,-routine,Subj4,English,med
4,ring,hi,+routine,Subj4,English,med
5,scramble,hi,+routine,Subj4,English,med
2,crush,lo,-routine,Subj5,English,med
3,manufacture,lo,+routine,Subj5,English,med
1,distribute,lo,-routine,Subj5,English,med
1,transport,lo,-routine,Subj5,English,med
3,repay,hi,+routine,Subj5,English,med
2,book,hi,-routine,Subj5,English,med
1,ring,hi,+routine,Subj5,English,med
1,scramble,hi,-routine,Subj5,English,med
3,crush,lo,+routine,Subj6,English,med
3,manufacture,lo,-routine,Subj6,English,med
4,distribute,lo,+routine,Subj6,English,med
1,transport,lo,-routine,Subj6,English,med
4,repay,hi,-routine,Subj6,English,med
5,book,hi,+routine,Subj6,English,med
2,ring,hi,-routine,Subj6,English,med
1,scramble,hi,-routine,Subj6,English,med
1,crush,lo,-routine,Subj7,English,med
4,manufacture,lo,-routine,Subj7,English,med
3,distribute,lo,-routine,Subj7,English,med
3,transport,lo,+routine,Subj7,English,med
2,repay,hi,-routine,Subj7,English,med
3,book,hi,-routine,Subj7,English,med
1,ring,hi,-routine,Subj7,English,med
1,scramble,hi,+routine,Subj7,English,med
4,butcher,med,+routine,Subj8,English,lo
3,demolish,med,-routine,Subj8,English,lo
2,whitewash,med,+routine,Subj8,English,lo
3,replenish,med,+routine,Subj8,English,lo
2,close,med,+routine,Subj8,English,hi
3,wash,med,-routine,Subj8,English,hi
2,roll,med,+routine,Subj8,English,hi
1,taste,med,-routine,Subj8,English,hi
4,butcher,med,-routine,Subj9,English,lo
1,demolish,med,-routine,Subj9,English,lo
2,whitewash,med,+routine,Subj9,English,lo
2,replenish,med,-routine,Subj9,English,lo
3,close,med,-routine,Subj9,English,hi
2,wash,med,-routine,Subj9,English,hi
2,roll,med,+routine,Subj9,English,hi
1,taste,med,-routine,Subj9,English,hi
3,butcher,med,+routine,Subj10,English,lo
4,demolish,med,+routine,Subj10,English,lo
3,whitewash,med,+routine,Subj10,English,lo
2,replenish,med,-routine,Subj10,English,lo
3,close,med,-routine,Subj10,English,hi
1,wash,med,+routine,Subj10,English,hi
3,roll,med,-routine,Subj10,English,hi
3,taste,med,-routine,Subj10,English,hi
2,butcher,med,+routine,Subj11,English,lo
4,demolish,med,-routine,Subj11,English,lo
1,whitewash,med,+routine,Subj11,English,lo
2,replenish,med,+routine,Subj11,English,lo
2,close,med,+routine,Subj11,English,hi
2,wash,med,+routine,Subj11,English,hi
1,roll,med,-routine,Subj11,English,hi
3,taste,med,-routine,Subj11,English,hi
5,butcher,med,+routine,Subj12,English,lo
5,demolish,med,-routine,Subj12,English,lo
5,whitewash,med,+routine,Subj12,English,lo
1,replenish,med,-routine,Subj12,English,lo
5,close,med,-routine,Subj12,English,hi
5,wash,med,-routine,Subj12,English,hi
1,roll,med,+routine,Subj12,English,hi
1,taste,med,-routine,Subj12,English,hi
5,crush,lo,-routine,Subj13,English,med
4,manufacture,lo,+routine,Subj13,English,med
4,distribute,lo,-routine,Subj13,English,med
3,transport,lo,+routine,Subj13,English,med
5,repay,hi,+routine,Subj13,English,med
3,book,hi,+routine,Subj13,English,med
5,ring,hi,-routine,Subj13,English,med
5,scramble,hi,+routine,Subj13,English,med
3,butcher,med,+routine,Subj14,English,lo
2,demolish,med,+routine,Subj14,English,lo
3,whitewash,med,-routine,Subj14,English,lo
2,replenish,med,+routine,Subj14,English,lo
1,close,med,-routine,Subj14,English,hi
3,wash,med,-routine,Subj14,English,hi
3,roll,med,-routine,Subj14,English,hi
2,taste,med,-routine,Subj14,English,hi
4,butcher,med,+routine,Subj15,English,lo
3,demolish,med,-routine,Subj15,English,lo
3,whitewash,med,-routine,Subj15,English,lo
4,replenish,med,+routine,Subj15,English,lo
5,close,med,-routine,Subj15,English,hi
4,wash,med,+routine,Subj15,English,hi
3,roll,med,+routine,Subj15,English,hi
5,taste,med,+routine,Subj15,English,hi
5,crush,lo,+routine,Subj16,English,med
5,manufacture,lo,+routine,Subj16,English,med
1,distribute,lo,-routine,Subj16,English,med
3,transport,lo,+routine,Subj16,English,med
4,repay,hi,-routine,Subj16,English,med
5,book,hi,-routine,Subj16,English,med
3,ring,hi,-routine,Subj16,English,med
4,scramble,hi,-routine,Subj16,English,med
4,crush,lo,-routine,Subj17,English,med
5,manufacture,lo,+routine,Subj17,English,med
4,distribute,lo,-routine,Subj17,English,med
4,transport,lo,+routine,Subj17,English,med
4,repay,hi,+routine,Subj17,English,med
5,book,hi,+routine,Subj17,English,med
5,ring,hi,-routine,Subj17,English,med
4,scramble,hi,-routine,Subj17,English,med
5,butcher,med,+routine,Subj18,English,lo
5,demolish,med,+routine,Subj18,English,lo
5,whitewash,med,+routine,Subj18,English,lo
5,replenish,med,+routine,Subj18,English,lo
5,close,med,+routine,Subj18,English,hi
5,wash,med,+routine,Subj18,English,hi
5,roll,med,-routine,Subj18,English,hi
5,taste,med,-routine,Subj18,English,hi
3,butcher,med,-routine,Subj19,English,lo
2,demolish,med,-routine,Subj19,English,lo
3,whitewash,med,+routine,Subj19,English,lo
3,replenish,med,-routine,Subj19,English,lo
3,close,med,+routine,Subj19,English,hi
3,wash,med,+routine,Subj19,English,hi
2,roll,med,-routine,Subj19,English,hi
3,taste,med,+routine,Subj19,English,hi
4,butcher,med,-routine,Subj20,English,lo
4,demolish,med,-routine,Subj20,English,lo
4,whitewash,med,+routine,Subj20,English,lo
3,replenish,med,-routine,Subj20,English,lo
5,close,med,+routine,Subj20,English,hi
5,wash,med,-routine,Subj20,English,hi
3,roll,med,-routine,Subj20,English,hi
5,taste,med,+routine,Subj20,English,hi
4,crush,lo,-routine,Subj21,English,med
4,manufacture,lo,+routine,Subj21,English,med
4,distribute,lo,+routine,Subj21,English,med
3,transport,lo,-routine,Subj21,English,med
4,repay,hi,+routine,Subj21,English,med
4,book,hi,-routine,Subj21,English,med
4,ring,hi,+routine,Subj21,English,med
5,scramble,hi,-routine,Subj21,English,med
5,butcher,med,-routine,Subj22,English,lo
4,demolish,med,+routine,Subj22,English,lo
4,whitewash,med,-routine,Subj22,English,lo
5,replenish,med,+routine,Subj22,English,lo
4,close,med,-routine,Subj22,English,hi
4,wash,med,-routine,Subj22,English,hi
5,roll,med,+routine,Subj22,English,hi
4,taste,med,+routine,Subj22,English,hi
5,butcher,med,+routine,Subj23,English,lo
3,demolish,med,+routine,Subj23,English,lo
4,whitewash,med,-routine,Subj23,English,lo
4,replenish,med,+routine,Subj23,English,lo
5,close,med,+routine,Subj23,English,hi
4,wash,med,+routine,Subj23,English,hi
5,roll,med,-routine,Subj23,English,hi
4,taste,med,-routine,Subj23,English,hi
3,crush,lo,-routine,Subj24,English,med
3,manufacture,lo,-routine,Subj24,English,med
3,distribute,lo,+routine,Subj24,English,med
3,transport,lo,-routine,Subj24,English,med
3,repay,hi,-routine,Subj24,English,med
3,book,hi,+routine,Subj24,English,med
2,ring,hi,+routine,Subj24,English,med
3,scramble,hi,+routine,Subj24,English,med
2,butcher,med,-routine,Subj25,English,lo
1,demolish,med,-routine,Subj25,English,lo
2,whitewash,med,+routine,Subj25,English,lo
1,replenish,med,-routine,Subj25,English,lo
2,close,med,-routine,Subj25,English,hi
1,wash,med,+routine,Subj25,English,hi
1,roll,med,-routine,Subj25,English,hi
1,taste,med,+routine,Subj25,English,hi
2,crush,lo,+routine,Subj26,English,med
2,manufacture,lo,+routine,Subj26,English,med
1,distribute,lo,-routine,Subj26,English,med
1,transport,lo,-routine,Subj26,English,med
3,repay,hi,+routine,Subj26,English,med
3,book,hi,-routine,Subj26,English,med
2,ring,hi,-routine,Subj26,English,med
2,scramble,hi,+routine,Subj26,English,med
3,butcher,med,-routine,Subj27,English,lo
2,demolish,med,-routine,Subj27,English,lo
3,whitewash,med,+routine,Subj27,English,lo
3,replenish,med,-routine,Subj27,English,lo
2,close,med,+routine,Subj27,English,hi
3,wash,med,-routine,Subj27,English,hi
2,roll,med,+routine,Subj27,English,hi
2,taste,med,+routine,Subj27,English,hi
4,crush,lo,-routine,Subj28,English,med
5,manufacture,lo,-routine,Subj28,English,med
5,distribute,lo,-routine,Subj28,English,med
5,transport,lo,+routine,Subj28,English,med
5,repay,hi,+routine,Subj28,English,med
5,book,hi,-routine,Subj28,English,med
5,ring,hi,+routine,Subj28,English,med
5,scramble,hi,+routine,Subj28,English,med
1,crush,lo,+routine,Subj29,English,med
3,manufacture,lo,-routine,Subj29,English,med
2,distribute,lo,+routine,Subj29,English,med
2,transport,lo,-routine,Subj29,English,med
2,repay,hi,-routine,Subj29,English,med
2,book,hi,-routine,Subj29,English,med
1,ring,hi,-routine,Subj29,English,med
1,scramble,hi,+routine,Subj29,English,med
4,crush,lo,-routine,Subj30,English,med
3,manufacture,lo,-routine,Subj30,English,med
3,distribute,lo,+routine,Subj30,English,med
4,transport,lo,-routine,Subj30,English,med
4,repay,hi,-routine,Subj30,English,med
4,book,hi,-routine,Subj30,English,med
3,ring,hi,+routine,Subj30,English,med
4,scramble,hi,+routine,Subj30,English,med
3,crush,lo,-routine,Subj31,English,med
2,manufacture,lo,+routine,Subj31,English,med
3,distribute,lo,+routine,Subj31,English,med
3,transport,lo,-routine,Subj31,English,med
2,repay,hi,+routine,Subj31,English,med
3,book,hi,-routine,Subj31,English,med
3,ring,hi,+routine,Subj31,English,med
3,scramble,hi,-routine,Subj31,English,med
4,butcher,med,+routine,Subj32,English,lo
4,demolish,med,+routine,Subj32,English,lo
4,whitewash,med,-routine,Subj32,English,lo
5,replenish,med,+routine,Subj32,English,lo
4,close,med,-routine,Subj32,English,hi
5,wash,med,-routine,Subj32,English,hi
4,roll,med,-routine,Subj32,English,hi
4,taste,med,+routine,Subj32,English,hi
2,crush,lo,+routine,Subj33,English,med
4,manufacture,lo,-routine,Subj33,English,med
4,distribute,lo,-routine,Subj33,English,med
4,transport,lo,+routine,Subj33,English,med
3,repay,hi,-routine,Subj33,English,med
4,book,hi,-routine,Subj33,English,med
4,ring,hi,+routine,Subj33,English,med
3,scramble,hi,+routine,Subj33,English,med
5,crush,lo,+routine,Subj34,English,med
4,manufacture,lo,+routine,Subj34,English,med
5,distribute,lo,+routine,Subj34,English,med
4,transport,lo,-routine,Subj34,English,med
5,repay,hi,+routine,Subj34,English,med
5,book,hi,-routine,Subj34,English,med
4,ring,hi,-routine,Subj34,English,med
5,scramble,hi,-routine,Subj34,English,med
2,butcher,med,+routine,Subj35,English,lo
4,demolish,med,-routine,Subj35,English,lo
4,whitewash,med,+routine,Subj35,English,lo
2,replenish,med,+routine,Subj35,English,lo
3,close,med,+routine,Subj35,English,hi
4,wash,med,+routine,Subj35,English,hi
2,roll,med,-routine,Subj35,English,hi
2,taste,med,+routine,Subj35,English,hi
3,butcher,med,+routine,Subj36,English,lo
3,demolish,med,+routine,Subj36,English,lo
2,whitewash,med,-routine,Subj36,English,lo
5,replenish,med,+routine,Subj36,English,lo
4,close,med,+routine,Subj36,English,hi
4,wash,med,+routine,Subj36,English,hi
4,roll,med,-routine,Subj36,English,hi
4,taste,med,+routine,Subj36,English,hi
4,butcher,med,-routine,Subj37,English,lo
4,demolish,med,+routine,Subj37,English,lo
4,whitewash,med,-routine,Subj37,English,lo
5,replenish,med,-routine,Subj37,English,lo
4,close,med,-routine,Subj37,English,hi
4,wash,med,+routine,Subj37,English,hi
3,roll,med,+routine,Subj37,English,hi
3,taste,med,-routine,Subj37,English,hi
2,butcher,med,+routine,Subj38,English,lo
