Reference,Person,Register,Variety,Referentiality
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,3,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
overt,1,S1A,GB,referential
