CASE	HZ_F1	SEX
1	488.57	M
2	557.66	M
3	424.69	M
4	625.95	M
5	531.04	M
6	518.47	M
7	479.09	M
8	492.52	M
9	423.62	M
10	468.68	M
11	489.34	M
12	609.46	M
13	464.05	M
14	401.65	M
15	382.85	M
16	463.27	M
17	631.07	M
18	456.24	M
19	532.31	M
20	496.47	M
21	534.82	M
22	598.73	M
23	392.17	M
24	453.61	M
25	570.24	M
26	359.78	M
27	594.31	M
28	388.67	M
29	382.18	M
30	381.12	M
31	613.11	M
32	475.07	M
33	454.35	M
34	539.55	M
35	647.34	M
36	434.18	M
37	220.16	M
38	530.67	M
39	339.68	M
40	539.18	M
41	367.63	M
42	429.22	M
43	587.55	M
44	396.66	M
45	569.9	M
46	398.6	M
47	510.47	M
48	542.09	M
49	592.24	M
50	515.33	M
51	587.53	M
52	395.89	M
53	528.59	M
54	590.52	M
55	399.9	M
56	464	M
57	380.56	M
58	433.06	M
59	434.88	M
60	545.9	M
61	527.71	F
62	606.89	F
63	814.31	F
64	506.04	F
65	570.93	F
66	630.17	F
67	446.37	F
68	301.94	F
69	415.09	F
70	435.87	F
71	625.01	F
72	447.51	F
73	594.4	F
74	613.46	F
75	432.75	F
76	509.93	F
77	485.74	F
78	673.53	F
79	606.19	F
80	685.25	F
81	312.48	F
82	497.25	F
83	534.24	F
84	611.73	F
85	598.85	F
86	600.51	F
87	613.92	F
88	452.2	F
89	521.14	F
90	715.69	F
91	540.06	F
92	708.96	F
93	494.69	F
94	573.23	F
95	506.24	F
96	442.94	F
97	397.95	F
98	551.1	F
99	506.33	F
100	498.89	F
101	659.2	F
102	558.66	F
103	442.99	F
104	502.13	F
105	197.85	F
106	434.56	F
107	586.88	F
108	383.63	F
109	456.42	F
110	647.25	F
111	510.41	F
112	541.08	F
113	526.97	F
114	530.45	F
115	419.72	F
116	385.49	F
117	633.94	F
118	685.58	F
119	407.03	F
120	613.56	F
